/Vref (vdc=1.6) X,/Vref (vdc=1.6) Y,/Vref (vdc=2) X,/Vref (vdc=2) Y,/Vref (vdc=2.4) X,/Vref (vdc=2.4) Y,/Vref (vdc=2.8) X,/Vref (vdc=2.8) Y,/Vref (vdc=3.2) X,/Vref (vdc=3.2) Y
57.39999999999996,0.9999543861881666,57.39999999999996,1.000011535853325,57.39999999999996,1.000015369097242,57.39999999999996,1.000040419293771,57.39999999999996,1.00008143236835
58.79999999999996,0.9999421812566244,58.79999999999996,1.000001203731075,58.79999999999996,1.000004461689239,58.79999999999996,1.000028582884772,58.79999999999996,1.000068400177579
60.19999999999996,0.9999292446176083,60.19999999999996,0.9999902456390946,60.19999999999996,0.9999929231938981,60.19999999999996,1.000016103684998,60.19999999999996,1.000054710573761
61.59999999999996,0.9999155660436529,61.59999999999996,0.9999786637733604,61.59999999999996,0.9999807557770189,61.59999999999996,1.000002983666651,61.59999999999996,1.000040365317394
62.99999999999996,0.999901133974804,62.99999999999996,0.9999664602671094,62.99999999999996,0.9999679615417294,62.99999999999996,0.9999892247337864,62.99999999999996,1.000025366095591
64.39999999999996,0.999885935579428,64.39999999999996,0.999953637188562,64.39999999999996,0.999954542525991,64.39999999999996,0.9999748287197113,64.39999999999996,1.000009714519371
65.79999999999997,0.9998699568271726,65.79999999999997,0.9999401965385599,65.79999999999997,0.9999405007003043,65.79999999999997,0.9999597973840718,65.79999999999997,0.9999934121203117
67.19999999999997,0.9998531825506317,67.19999999999997,0.9999261402477451,67.19999999999997,0.9999258379647309,67.19999999999997,0.9999441324098156,67.19999999999997,0.9999764603469563
68.59999999999998,0.9998355964736949,68.59999999999998,0.999911470173405,68.59999999999998,0.9999105561454498,68.59999999999998,0.9999278353992432,68.59999999999998,0.9999588605613183
70,0.9998171811906208,70,0.9998961880962576,70,0.9998946569916994,70,0.9999109078704649,70,0.9999406140340065
