/Vd X,/Vd Y
1.459461647560118e-07,1.248535904795817
1.463672403813043e-07,1.247781541963091
1.472093916318894e-07,1.246305979272543
1.476944622154637e-07,1.245497051216385
1.486646033826123e-07,1.244043226431752
1.493289569116847e-07,1.24320097890141
1.5e-07,1.242496950471792
1.507774857176564e-07,1.241507670345858
1.520233612289901e-07,1.239523481653896
1.53085289634376e-07,1.237374426902371
1.545576656412113e-07,1.233656652012908
1.563218656984621e-07,1.228060679305824
1.571557897167966e-07,1.22498190213936
1.579903731966736e-07,1.221621895178901
1.587602257092561e-07,1.218275237428571
1.593801128546281e-07,1.21540809547012
1.6e-07,1.21238719756344
1.602891352566496e-07,1.210942297113238
1.608143883537652e-07,1.208317455170522
1.613337401481998e-07,1.205722147624007
1.622765599257935e-07,1.201010979136472
1.633876391305728e-07,1.195460310271368
