/Vcmp X,/Vcmp Y,/CLK X,/CLK Y
1.923576432711077e-08,1.121241043414577,1.923576432711077e-08,1.182789701557564
1.940091000373157e-08,1.131187918770835,1.940091000373157e-08,1.189404468180189
1.956652212550406e-08,1.139985495342561,1.956652212550406e-08,1.194445006049383
1.973432060661491e-08,1.147818684070913,1.973432060661491e-08,1.197911258955298
1.986716030330746e-08,1.153319259604352,1.986716030330746e-08,1.199477587309642
2e-08,1.158261969346501,2e-08,1.2
2.006648847685226e-08,1.160477056196082,2.006648847685226e-08,1.2
2.019946543055678e-08,1.164636601477745,2.019946543055678e-08,1.2
2.03972435692729e-08,1.170097984222367,2.03972435692729e-08,1.2
2.059140777591394e-08,1.174678998382802,2.059140777591394e-08,1.2
2.079487484331856e-08,1.178750145608048,2.079487484331856e-08,1.2
2.101699792427774e-08,1.182466280038382,2.101699792427774e-08,1.2
2.125419304278989e-08,1.185729974939921,2.125419304278989e-08,1.2
2.150892626072952e-08,1.188567227194332,2.150892626072952e-08,1.2
2.178631128513255e-08,1.19102140453994,2.178631128513255e-08,1.2
2.209098435920195e-08,1.193113697193865,2.209098435920195e-08,1.2
2.242908195901574e-08,1.194866188868071,2.242908195901574e-08,1.2
2.280922297588213e-08,1.196302888371038,2.280922297588213e-08,1.2
2.32431451857212e-08,1.197447314436121,2.32431451857212e-08,1.2
2.374752714662972e-08,1.198324087360595,2.374752714662972e-08,1.2
2.43472276592259e-08,1.198960227127786,2.43472276592259e-08,1.2
2.508119214220957e-08,1.199386133157198,2.508119214220957e-08,1.2
2.601457799312818e-08,1.199636732576522,2.601457799312818e-08,1.2
2.701457799312818e-08,1.199733593439031,2.701457799312818e-08,1.2
2.801457799312817e-08,1.199757272146373,2.801457799312817e-08,1.2
2.901457799312817e-08,1.199756818966431,2.901457799312817e-08,1.2
3.001457799312817e-08,1.199751476386785,3.001457799312817e-08,1.2
3.101457799312818e-08,1.199747093031967,3.101457799312818e-08,1.2
3.201457799312818e-08,1.199744538402781,3.201457799312818e-08,1.2
3.301457799312818e-08,1.199743315630532,3.301457799312818e-08,1.2
3.401457799312818e-08,1.199742826019532,3.401457799312818e-08,1.2
3.501457799312818e-08,1.19974267185754,3.501457799312818e-08,1.2
3.601457799312819e-08,1.199742645236566,3.601457799312819e-08,1.2
3.701457799312819e-08,1.19974265522762,3.701457799312819e-08,1.2
3.801457799312819e-08,1.199742669180717,3.801457799312819e-08,1.2
3.901457799312819e-08,1.199742678782696,3.901457799312819e-08,1.2
4.00145779931282e-08,1.199742683907266,4.00145779931282e-08,1.2
4.10145779931282e-08,1.199742686190614,4.10145779931282e-08,1.2
4.20145779931282e-08,1.199742687030673,4.20145779931282e-08,1.2
4.30145779931282e-08,1.199742687256338,4.30145779931282e-08,1.2
4.401457799312821e-08,1.199742687269457,4.401457799312821e-08,1.2
4.501457799312821e-08,1.199742687233164,4.501457799312821e-08,1.2
4.601457799312821e-08,1.199742687199993,4.601457799312821e-08,1.2
4.701457799312821e-08,1.199742687179795,4.701457799312821e-08,1.2
4.801457799312821e-08,1.199742687169815,4.801457799312821e-08,1.2
4.901457799312822e-08,1.199742687165683,4.901457799312822e-08,1.2
5.001457799312822e-08,1.199742687164311,5.001457799312822e-08,1.2
5.101457799312822e-08,1.199742687164026,5.101457799312822e-08,1.2
5.201457799312822e-08,1.199742687164076,5.201457799312822e-08,1.2
5.301457799312823e-08,1.199742687164176,5.301457799312823e-08,1.2
5.401457799312823e-08,1.19974268716425,5.401457799312823e-08,1.2
5.501457799312823e-08,1.199742687164292,5.501457799312823e-08,1.2
5.601457799312823e-08,1.19974268716431,5.601457799312823e-08,1.2
5.701457799312824e-08,1.199742687164317,5.701457799312824e-08,1.2
5.801457799312824e-08,1.19974268716432,5.801457799312824e-08,1.2
5.901457799312824e-08,1.19974268716432,5.901457799312824e-08,1.2
6.001457799312824e-08,1.19974268716432,6.001457799312824e-08,1.2
6.101457799312823e-08,1.19974268716432,6.101457799312823e-08,1.2
6.201457799312823e-08,1.19974268716432,6.201457799312823e-08,1.2
6.301457799312822e-08,1.199742687164319,6.301457799312822e-08,1.2
