out X,out Y
5.205137311905544e-06,0.0009661124442730752
5.20531300160986e-06,-1.262839326975085e-07
5.205519816615807e-06,-0.001345054392444816
5.20576613774148e-06,-0.003242178157761827
5.20606060029716e-06,-0.005925410226225719
5.206412261485827e-06,-0.009690381591318383
5.206833503344123e-06,-0.01491601011028464
5.207344519372738e-06,-0.02210628223375745
5.207887153407231e-06,-0.03047233321057969
5.208406516983605e-06,-0.03888632968132165
5.208917529364951e-06,-0.04726972325810965
5.209431841033696e-06,-0.05555388779146556
5.209715920516848e-06,-0.05999819241159437
5.21e-06,-0.06430165897978628
5.210060576530127e-06,-0.06519084251158831
5.210124682755245e-06,-0.06612148994853527
5.210204108182693e-06,-0.06725497728151765
5.210362959037589e-06,-0.06945298551141052
5.210680660747381e-06,-0.07357882521858679
5.211123908597402e-06,-0.0787647404809682
5.211588630334081e-06,-0.08353808484799789
5.212105995287006e-06,-0.08812474257856096
5.212803206631492e-06,-0.09324012022223351
5.213613442148046e-06,-0.09787114302872763
5.2142786272064e-06,-0.1007723123902221
5.214913631694273e-06,-0.1029086205604852
5.215638717981595e-06,-0.1047269182338044
5.216486491750849e-06,-0.1061749161410152
5.217474337956383e-06,-0.1071401308500742
5.218546088242014e-06,-0.1075186778795001
5.219707257397333e-06,-0.1073525848462952
5.220976696414855e-06,-0.1066855368143784
5.222381264681795e-06,-0.1055442689691286
5.223961247036518e-06,-0.1039284606405739
5.225769681632464e-06,-0.1018070708998152
5.227879937685329e-06,-0.09910712254159663
5.230399468640814e-06,-0.09568847831050017
5.233494395073984e-06,-0.0912927350272762
5.237437535038244e-06,-0.08543333046936487
5.24270351961472e-06,-0.07714547403195196
5.25013889391412e-06,-0.06440535508214146
5.258648529250084e-06,-0.04810062797425012
5.265367529067862e-06,-0.03379708495221526
5.268606763877636e-06,-0.02642949835389872
5.272125161228627e-06,-0.01806666706502227
5.275399037645083e-06,-0.009944970341921893
5.279600960942824e-06,0.0009556778362872553
5.286190818924818e-06,0.01906680451413361
5.291976903082732e-06,0.035895566646284
5.296711861008745e-06,0.05020474895402167
5.302941008583786e-06,0.06952381671547382
5.309394583563719e-06,0.08977479816846011
