/vout X,/vout Y,/dac_out X,/dac_out Y,/I5/PM0/D X,/I5/PM0/D Y,/I5/vbody X,/I5/vbody Y
7.650124593685895e-10,0.9812422342938782,7.650124593685895e-10,0,7.650124593685895e-10,2.22123268138474e-05,7.650124593685895e-10,0.4535906275093842
7.762932708809647e-10,0.9816855837476027,7.762932708809647e-10,0,7.762932708809647e-10,2.09059315965821e-05,7.762932708809647e-10,0.4568983826359629
7.878341223776012e-10,0.9822063594798189,7.878341223776012e-10,0,7.878341223776012e-10,1.950875614656387e-05,7.878341223776012e-10,0.4606928036057502
8.010031916997092e-10,0.9828481239166064,8.010031916997092e-10,0,8.010031916997092e-10,1.789533916760216e-05,8.010031916997092e-10,0.465467557511452
8.140458170102635e-10,0.9835082172154627,8.140458170102635e-10,0,8.140458170102635e-10,1.633048540183192e-05,8.140458170102635e-10,0.4706028424570474
8.291648179091298e-10,0.9842677549884865,8.291648179091298e-10,0,8.291648179091298e-10,1.461200490289844e-05,8.291648179091298e-10,0.4769700128824695
8.448476667297587e-10,0.9850238863440928,8.448476667297587e-10,0,8.448476667297587e-10,1.298169581952552e-05,8.448476667297587e-10,0.4839451845318467
8.630637146020254e-10,0.9858381666226255,8.630637146020254e-10,0,8.630637146020254e-10,1.131387049995792e-05,8.630637146020254e-10,0.492380403124237
8.810240870808673e-10,0.9865580154840684,8.810240870808673e-10,0,8.810240870808673e-10,9.910928949089892e-06,8.810240870808673e-10,0.5008992810417933
8.995122790000428e-10,0.9872088562348815,8.995122790000428e-10,0,8.995122790000428e-10,8.69980545871789e-06,8.995122790000428e-10,0.5097243681053552
9.172723585067217e-10,0.9877562550344748,9.172723585067217e-10,0,9.172723585067217e-10,7.731091707483378e-06,9.172723585067217e-10,0.5181303852869965
9.346040663151682e-10,0.9882230240647011,9.346040663151682e-10,0,9.346040663151682e-10,6.939112421670508e-06,9.346040663151682e-10,0.5261698498433391
9.540686242600681e-10,0.9886789580416547,9.540686242600681e-10,0,9.540686242600681e-10,6.195808318313158e-06,9.540686242600681e-10,0.5349236356991571
9.744270530827375e-10,0.9890913091064992,9.744270530827375e-10,0,9.744270530827375e-10,5.548694827485146e-06,9.744270530827375e-10,0.5437090746153097
9.872135265413688e-10,0.9893213572304078,9.872135265413688e-10,0,9.872135265413688e-10,5.197041884815561e-06,9.872135265413688e-10,0.549014052098588
1e-09,0.9895324593170068,1e-09,0,1e-09,4.88026483546218e-06,1e-09,0.5541461133374973
1.00127007643827e-09,0.9892691579713621,1.00127007643827e-09,0,1.00127007643827e-09,4.847655496374995e-06,1.00127007643827e-09,0.5543775251771806
1.002373462209779e-09,0.9890957365443258,1.002373462209779e-09,0,1.002373462209779e-09,4.823640772323323e-06,1.002373462209779e-09,0.5546076762080558
1.003557774091575e-09,0.9889723097890358,1.003557774091575e-09,0,1.003557774091575e-09,4.799535827059745e-06,1.003557774091575e-09,0.5548890588398609
1.005524252526868e-09,0.9888671824319983,1.005524252526868e-09,0,1.005524252526868e-09,4.75967684563976e-06,1.005524252526868e-09,0.5554168777931592
1.007016137428506e-09,0.9888413237937639,1.007016137428506e-09,0,1.007016137428506e-09,4.729650552254549e-06,1.007016137428506e-09,0.5558545785855211
1.008477405361532e-09,0.9888408126810019,1.008477405361532e-09,0,1.008477405361532e-09,4.70003429203528e-06,1.008477405361532e-09,0.5563053046340127
1.010136954371766e-09,0.9888548384796418,1.010136954371766e-09,0,1.010136954371766e-09,4.666566983425151e-06,1.010136954371766e-09,0.5568356829243332
1.012083709207488e-09,0.9888800403453256,1.012083709207488e-09,0,1.012083709207488e-09,4.627315875740881e-06,1.012083709207488e-09,0.5574761363400618
1.014565873703674e-09,0.9889169475956013,1.014565873703674e-09,0,1.014565873703674e-09,4.577280768844808e-06,1.014565873703674e-09,0.5583138507930309
1.017893435670152e-09,0.9889678007789973,1.017893435670152e-09,0,1.017893435670152e-09,4.510360531689301e-06,1.017893435670152e-09,0.5594635130882253
1.02262855497798e-09,0.9890380757458478,1.02262855497798e-09,0,1.02262855497798e-09,4.415884149367571e-06,1.02262855497798e-09,0.5611333120268379
1.030066517262366e-09,0.9891419289462204,1.030066517262366e-09,0,1.030066517262366e-09,4.270509140109495e-06,1.030066517262366e-09,0.5637934223247888
1.043779436737407e-09,0.9893169688752601,1.043779436737407e-09,0,1.043779436737407e-09,4.015994586129744e-06,1.043779436737407e-09,0.56868724003869
1.067533187510289e-09,0.9895865636329205,1.067533187510289e-09,0,1.067533187510289e-09,3.620479874689054e-06,1.067533187510289e-09,0.5768683551968448
