/out X,/out Y
1.107097012358955e-07,-0.1445822899321529
1.110322869205482e-07,-0.1512081614861823
1.112670751904278e-07,-0.1552943206234762
1.114473865861506e-07,-0.15803822846324
1.115979432510883e-07,-0.1600823486530867
1.117324170416762e-07,-0.1617279215936641
1.118685530567291e-07,-0.1632293894627134
1.120688760474564e-07,-0.1651575496678625
1.122206156961074e-07,-0.1664078740345805
1.12335505688629e-07,-0.1672408336835461
1.124533045651537e-07,-0.1679989687400356
1.12584975921633e-07,-0.1687380775902817
1.127225173864927e-07,-0.1693951310076069
1.128621123825676e-07,-0.1699493907464846
1.130151952470537e-07,-0.1704361125666465
1.132517334307678e-07,-0.1709636818823514
1.134538982538116e-07,-0.1712184269863835
1.136119809155009e-07,-0.1713030847719669
1.137794353539813e-07,-0.1712937011729537
1.139846083941737e-07,-0.1711571686543574
1.142294347716825e-07,-0.1708337550118804
1.145117028238485e-07,-0.1702713606791369
1.148431524809471e-07,-0.1693904670693927
1.152394383732227e-07,-0.1680805735024156
1.157173432808199e-07,-0.1662102355722031
1.163014032096475e-07,-0.1636108138933206
1.170471831984385e-07,-0.1599701534052334
1.179325384883158e-07,-0.1554036258780062
1.183145749533734e-07,-0.153385973591697
1.187189439595778e-07,-0.1512457640030547
1.190554391229474e-07,-0.1494714812699444
1.192917155303922e-07,-0.1482325358124889
1.194917235250133e-07,-0.1471899905594724
1.19728858330783e-07,-0.1459633635161054
1.199294528169105e-07,-0.1449347937112459
1.201223149339033e-07,-0.143953960782722
1.20299643529592e-07,-0.1430588236973165
1.204604700977073e-07,-0.1422519465239281
1.206160304188564e-07,-0.1414755963003093
1.207923935138059e-07,-0.1406002573738389
1.210656778868203e-07,-0.1392546834464629
1.213028629596811e-07,-0.1380984789667737
1.215243119983871e-07,-0.137029410511433
1.217729796344285e-07,-0.1358413733094266
1.220999305706411e-07,-0.1342994667715377
1.224153505400844e-07,-0.1328332379257147
1.227020240213949e-07,-0.1315181391320316
1.230044407474371e-07,-0.1301480453989247
1.233493915625476e-07,-0.1286058535794299
1.237389282356237e-07,-0.1268896947753342
1.241807094235323e-07,-0.1249749595772625
1.246828160524938e-07,-0.1228387100744606
1.252588441340497e-07,-0.1204395568195924
1.259305026576774e-07,-0.1177107753988391
