/vout X,/vout Y,/I5/PM0/D X,/I5/PM0/D Y
2.035225529566207e-09,0.8942826673672357,2.035225529566207e-09,-4.49954202580379e-06
2.038627170210006e-09,0.8939784202627191,2.038627170210006e-09,-4.508839134778027e-06
2.042665282223932e-09,0.8936178413067697,2.042665282223932e-09,-4.519836104966825e-06
2.047460493830927e-09,0.8931904965165257,2.047460493830927e-09,-4.532839245400932e-06
2.053054926064983e-09,0.892693072221618,2.053054926064983e-09,-4.547933344380554e-06
2.05942038701799e-09,0.8921285868713346,2.05942038701799e-09,-4.565008238353042e-06
2.066592102760539e-09,0.8914944996766223,2.066592102760539e-09,-4.584119934806569e-06
2.0747360541196e-09,0.8907768758994848,2.0747360541196e-09,-4.605662187243655e-06
2.084179930108467e-09,0.8899479143638204,2.084179930108467e-09,-4.630431560659581e-06
2.095519117621153e-09,0.8889571066434212,2.095519117621153e-09,-4.659875239212091e-06
2.110081055944542e-09,0.887691868767404,2.110081055944542e-09,-4.697218430923315e-06
2.134606118602553e-09,0.8855789542165089,2.134606118602553e-09,-4.758940560146461e-06
2.154382138832064e-09,0.8838914293739667,2.154382138832064e-09,-4.80767169828943e-06
2.168353626954977e-09,0.8827078610441235,2.168353626954977e-09,-4.841552358905568e-06
2.180199931216288e-09,0.881709871050537,2.180199931216288e-09,-4.869926396772304e-06
2.1908363175511e-09,0.8808181089982263,2.1908363175511e-09,-4.895130583610604e-06
2.200961268694711e-09,0.8799729751717904,2.200961268694711e-09,-4.918887106908985e-06
2.209881890415666e-09,0.8792313773025253,2.209881890415666e-09,-4.939629784035435e-06
2.219214409609967e-09,0.878458535072095,2.219214409609967e-09,-4.961143046064343e-06
2.22871321828174e-09,0.8776750503727189,2.22871321828174e-09,-4.982845389966268e-06
2.238436571608019e-09,0.8768762928958426,2.238436571608019e-09,-5.004859952608124e-06
2.248560822814131e-09,0.876048072192407,2.248560822814131e-09,-5.027568481918355e-06
2.259205965184775e-09,0.8751810324478345,2.259205965184775e-09,-5.051212765279122e-06
2.270546140395137e-09,0.8742616304841486,2.270546140395137e-09,-5.076141470413704e-06
2.282733752073494e-09,0.8732783731814715,2.282733752073494e-09,-5.102638342924741e-06
2.296317027336426e-09,0.8721883936628252,2.296317027336426e-09,-5.131814263447208e-06
2.310884116049454e-09,0.8710262956065866,2.310884116049454e-09,-5.162693234883832e-06
2.326842341690382e-09,0.8697612575596928,2.326842341690382e-09,-5.196041094960807e-06
2.343864252851232e-09,0.8684210787327085,2.343864252851232e-09,-5.231067626017013e-06
2.361373800653092e-09,0.8670523014881808,2.361373800653092e-09,-5.266521652299774e-06
2.378831417040305e-09,0.8656973808388343,2.378831417040305e-09,-5.301299064978834e-06
2.39586781830078e-09,0.8643844980139218,2.39586781830078e-09,-5.334696520244658e-06
2.412329074539368e-09,0.8631246330195874,2.412329074539368e-09,-5.366467244925022e-06
2.428091297594381e-09,0.8619262139624195,2.428091297594381e-09,-5.396436173223589e-06
2.443467451851302e-09,0.8607645819186547,2.443467451851302e-09,-5.425250702998774e-06
2.458216299955157e-09,0.8596571922807897,2.458216299955157e-09,-5.452505336451401e-06
2.472574333258533e-09,0.858585548940305,2.472574333258533e-09,-5.478681222979804e-06
2.486707336657185e-09,0.857536833361302,2.486707336657185e-09,-5.504107900643776e-06
2.500766944088259e-09,0.8564995665968195,2.500766944088259e-09,-5.529073238959918e-06
2.513397067332972e-09,0.8555728419109249,2.513397067332972e-09,-5.551224181631221e-06
2.526027190577683e-09,0.8546509022778934,2.526027190577683e-09,-5.573116200236096e-06
2.542011757845333e-09,0.8534909284540585,2.542011757845333e-09,-5.600455073315706e-06
2.559952591671571e-09,0.8521980264331296,2.559952591671571e-09,-5.630659333640874e-06
2.567043490770638e-09,0.8516896463021628,2.567043490770638e-09,-5.642461366881591e-06
2.573086500865372e-09,0.851257567654683,2.573086500865372e-09,-5.652457860086261e-06
2.579584029382917e-09,0.8507941920609468,2.579584029382917e-09,-5.663143574092858e-06
2.583673944085348e-09,0.8505031444276443,2.583673944085348e-09,-5.669833488496605e-06
2.587097190092638e-09,0.8502599145197498,2.587097190092638e-09,-5.675415625288868e-06
2.590890174158284e-09,0.8499908263688841,2.590890174158284e-09,-5.681585935739012e-06
2.593438660718647e-09,0.8498102730745911,2.593438660718647e-09,-5.685721785560592e-06
2.595496482013608e-09,0.8496646348881536,2.595496482013608e-09,-5.689060403708823e-06
2.597678715516256e-09,0.8495103471595487,2.597678715516256e-09,-5.692598253165004e-06
2.599526444232376e-09,0.8493798392147917,2.599526444232376e-09,-5.695592375994888e-06
2.601128245444495e-09,0.8492668029209599,2.601128245444495e-09,-5.698188308656541e-06
2.602548653212429e-09,0.8491666506734836,2.602548653212429e-09,-5.700491137921991e-06
2.603822527135465e-09,0.8490769002903469,2.603822527135465e-09,-5.702556800651945e-06
2.605005370959057e-09,0.8489936235842619,2.605005370959057e-09,-5.704473808659857e-06
2.606143976630352e-09,0.848913515125145,2.606143976630352e-09,-5.706316169177771e-06
2.607272590792894e-09,0.8488341877281681,2.607272590792894e-09,-5.708166815082451e-06
2.608386987343595e-09,0.8487559176866357,2.608386987343595e-09,-5.709971451734768e-06
2.609575027403172e-09,0.8486725004721403,2.609575027403172e-09,-5.711859423362071e-06
2.610443244092934e-09,0.8486115096872298,2.610443244092934e-09,-5.713182090029026e-06
2.611185583138063e-09,0.8485593733567628,2.611185583138063e-09,-5.714359845090609e-06
2.611945281655191e-09,0.848506048981107,2.611945281655191e-09,-5.715575917836795e-06
2.612702126658985e-09,0.8484529515779422,2.612702126658985e-09,-5.716774691993137e-06
2.613941547743222e-09,0.8483660434786037,2.613941547743222e-09,-5.718727520636733e-06
2.615311461276605e-09,0.8482700404723348,2.615311461276605e-09,-5.720873636372276e-06
2.616691260843139e-09,0.8481734011281598,2.616691260843139e-09,-5.723026236048501e-06
2.618062307680675e-09,0.8480774360774718,2.618062307680675e-09,-5.72516046683e-06
2.619398862765686e-09,0.8479839545329821,2.619398862765686e-09,-5.727241019021995e-06
2.6206934578253e-09,0.847893487247948,2.6206934578253e-09,-5.729261031675224e-06
2.621943465772851e-09,0.8478062273958279,2.621943465772851e-09,-5.731221220692246e-06
2.623144268375067e-09,0.8477225081312336,2.623144268375067e-09,-5.73311960808339e-06
2.624291262653692e-09,0.847642662187741,2.624291262653692e-09,-5.734954872419619e-06
2.625380863408976e-09,0.8475669517068559,2.625380863408976e-09,-5.736727641912007e-06
2.626412109451241e-09,0.8474954551856589,2.626412109451241e-09,-5.738441470111845e-06
2.627389416120379e-09,0.8474278734415345,2.627389416120379e-09,-5.740103406283706e-06
2.628326248642833e-09,0.8473632703147911,2.628326248642833e-09,-5.741722992689074e-06
2.629250083670165e-09,0.8472997057234364,2.629250083670165e-09,-5.743290695498502e-06
2.630210488099029e-09,0.8472336809557527,2.630210488099029e-09,-5.744822677635102e-06
2.63129627373666e-09,0.8471589847708065,2.63129627373666e-09,-5.746427991612773e-06
2.632683233962333e-09,0.8470630153627852,2.632683233962333e-09,-5.748006529992489e-06
2.634388158604021e-09,0.8469429745631415,2.634388158604021e-09,-5.748856609373557e-06
2.636072071716505e-09,0.84682039669553,2.636072071716505e-09,-5.748063232582124e-06
2.637503191586117e-09,0.846711786642769,2.637503191586117e-09,-5.746021891691644e-06
2.638941865673943e-09,0.8465975204531926,2.638941865673943e-09,-5.742833715954635e-06
2.640447465692272e-09,0.8464729380663858,2.640447465692272e-09,-5.739447100969858e-06
2.642048168081053e-09,0.8463396627237645,2.642048168081053e-09,-5.739204174993564e-06
2.643283334144573e-09,0.8462321470082231,2.643283334144573e-09,-5.735304097754694e-06
2.644585180959509e-09,0.8461103229118899,2.644585180959509e-09,-5.728449016972934e-06
2.645797305852169e-09,0.8459826190687925,2.645797305852169e-09,-5.716041601469573e-06
2.64677388980468e-09,0.845870052740562,2.64677388980468e-09,-5.706352087775219e-06
2.647934083091379e-09,0.845736399536959,2.647934083091379e-09,-5.705133407169224e-06
2.649059439826191e-09,0.845613460075849,2.649059439826191e-09,-5.71010232908455e-06
